CCTV-1综合,rtp://239.45.3.188:5140
CCTV-2财经,rtp://239.45.3.189:5140
CCTV-3综艺,rtp://239.45.3.113:5140
CCTV-4中文国际,rtp://239.45.3.190:5140
CCTV-5体育,rtp://239.45.3.114:5140
CCTV-6电影,rtp://239.45.3.115:5140
CCTV-7国防军事,rtp://239.45.1.193:5140
CCTV-8电视剧,rtp://239.45.1.113:5140
CCTV-10科教,rtp://239.45.1.195:5140
CCTV-11戏曲,rtp://239.45.1.196:5140
CCTV-12社会与法,rtp://239.45.1.197:5140
CCTV-13新闻,rtp://239.45.1.198:5140
CCTV-14少儿,rtp://239.45.1.199:5140
CCTV-15音乐,rtp://239.45.1.200:5140
CCTV-17农村农业,rtp://239.45.3.1:5140
CGTN,rtp://239.45.1.194:5140
中国天气,rtp://239.45.1.47:5140
第一剧场,rtp://239.45.0.51:5140
风云剧场,rtp://239.45.0.50:5140
怀旧剧场,rtp://239.45.0.49:5140
世界地理,rtp://239.45.0.46:5140
风云音乐,rtp://239.45.0.52:5140
兵器科技,rtp://239.45.1.74:5140
兵器科技,rtp://239.45.0.45:5140
风云足球,rtp://239.45.1.75:5140
风云足球,rtp://239.45.0.43:5140
高尔夫网球,rtp://239.45.0.48:5140
高尔夫网球,rtp://239.45.1.72:5140
女性时尚,rtp://239.45.0.47:5140
文化精品,rtp://239.45.0.53:5140
文化精品,rtp://239.45.1.17:5140
央视台球,rtp://239.45.0.44:5140
电视指南,rtp://239.45.1.73:5140
4k超高清,rtp://239.45.0.55:5140

东方卫视 FHD,rtp://239.45.3.146:5140
浙江卫视 FHD,rtp://239.45.3.178:5140
江苏卫视 FHD,rtp://239.45.3.177:5140
湖南卫视 FHD,rtp://239.45.3.228:5140
北京卫视 FHD,rtp://239.45.3.229:5140
广东卫视 FHD,rtp://239.45.3.230:5140
深圳卫视 FHD,rtp://239.45.3.231:5140
黑龙江卫视 FHD,rtp://239.45.3.232:5140
山东卫视 FHD,rtp://239.45.3.238:5140
湖北卫视 FHD,rtp://239.45.3.239:5140
安徽卫视 FHD,rtp://239.45.1.120:5140
安徽卫视 FHD,rtp://239.45.3.143:5140
东南卫视 FHD,rtp://239.45.3.121:5140
江西卫视 FHD,rtp://239.45.1.122:5140
辽宁卫视 FHD,rtp://239.45.1.123:5140
天津卫视 FHD,rtp://239.45.1.124:5140
四川卫视 FHD,rtp://239.45.1.83:5140
重庆卫视 FHD,rtp://239.45.1.84:5140
贵州卫视 FHD,rtp://239.45.1.80:5140
海南卫视 FHD,rtp://239.45.1.81:5140
河北卫视 FHD,rtp://239.45.1.44:5140
甘肃卫视 FHD,rtp://239.45.0.15:5140
青海卫视 FHD,rtp://239.45.0.37:5140
河南卫视 FHD,rtp://239.45.0.3:5140
云南卫视 FHD,rtp://239.45.0.4:5140
广西卫视 FHD,rtp://239.45.0.5:5140
吉林卫视 FHD,rtp://239.45.0.6:5140
三沙卫视 FHD,rtp://239.45.0.56:5140
深圳卫视 FHD,rtp://239.45.3.231:5140
宁夏卫视,rtp://239.45.1.213:5140
北京卫视,rtp://239.45.1.214:5140
湖南卫视,rtp://239.45.1.215:5140
江苏卫视,rtp://239.45.1.216:5140
浙江卫视,rtp://239.45.1.217:5140
海南卫视,rtp://239.45.1.218:5140
广西卫视,rtp://239.45.1.219:5140
四川卫视,rtp://239.45.1.220:5140
山东卫视,rtp://239.45.1.221:5140
辽宁卫视,rtp://239.45.1.222:5140
安徽卫视,rtp://239.45.1.223:5140
东南卫视,rtp://239.45.1.224:5140
天津卫视,rtp://239.45.1.226:5140
江西卫视,rtp://239.45.1.227:5140
吉林卫视,rtp://239.45.1.228:5140
山西卫视,rtp://239.45.1.229:5140
青海卫视,rtp://239.45.1.230:5140
西藏卫视,rtp://239.45.1.231:5140
陕西卫视,rtp://239.45.1.232:5140
云南卫视,rtp://239.45.1.233:5140
甘肃卫视,rtp://239.45.1.234:5140
广东卫视,rtp://239.45.1.235:5140
黑龙江卫视,rtp://239.45.1.236:5140
河北卫视,rtp://239.45.1.237:5140
内蒙古卫视,rtp://239.45.1.238:5140
湖北卫视,rtp://239.45.1.239:5140
重庆卫视,rtp://239.45.1.240:5140
贵州卫视,rtp://239.45.1.241:5140
河南卫视,rtp://239.45.1.242:5140
