CCTV1,rtp://239.77.1.17:5146
CCTV2,rtp://239.77.1.158:5146
CCTV3,rtp://239.77.0.169:5146
CCTV4,rtp://239.77.1.163:5146
CCTV5,rtp://239.77.0.170:5146
CCTV6,rtp://239.77.0.171:5146
CCTV7,rtp://239.77.1.159:5146
CCTV8,rtp://239.77.0.172:5146
CCTV9,rtp://239.77.1.168:5146
CCTV10,rtp://239.77.1.113:5146
CCTV11,rtp://239.77.1.238:5146
CCTV12,rtp://239.77.1.109:5146
CCTV13,rtp://239.77.0.188:5146
CCTV14,rtp://239.77.1.161:5146
CCTV15,rtp://239.77.1.239:5146
CCTV16,rtp://239.77.1.76:5146
CCTV17,rtp://239.77.1.121:5146
CCTV-4K,rtp://239.77.0.194:5146
CCTV-8K,rtp://239.253.43.106:5146

湖南卫视,rtp://239.77.1.5:5146
浙江卫视,rtp://239.77.1.33:5146
江苏卫视,rtp://239.77.1.18:5146
东方卫视,rtp://239.77.1.218:5146
安徽卫视,rtp://239.77.1.92:5146
北京卫视,rtp://239.77.1.4:5146
天津卫视,rtp://239.77.1.141:5146
天津卫视,rtp://239.77.0.131:5146
山东卫视,rtp://239.77.1.142:5146
江西卫视,rtp://239.77.1.219:5146
湖北卫视,rtp://239.77.1.93:5146
辽宁卫视,rtp://239.77.1.103:5146
黑龙江卫视,rtp://239.77.1.6:5146
贵州卫视,rtp://239.77.1.221:5146
四川卫视,rtp://239.77.1.215:5146
河南卫视,rtp://239.77.1.229:5146
云南卫视,rtp://239.77.43.37:5146
重庆卫视,rtp://239.77.1.162:5146
河北卫视,rtp://239.77.1.214:5146
东南卫视,rtp://239.77.1.104:5146
广东卫视,rtp://239.77.1.19:5146
深圳卫视,rtp://239.77.1.3:5146
大湾区卫视,rtp://239.77.0.215:5146
广西卫视,rtp://239.77.43.36:5146
吉林卫视,rtp://239.77.1.111:5146
海南卫视,rtp://239.77.43.35:5146
甘肃卫视,rtp://239.77.0.189:5146
吉林卫视,rtp://239.77.1.111:5146
内蒙古卫视,rtp://239.77.1.55:5146
陕西卫视,rtp://239.77.1.54:5146
河北卫视,rtp://239.77.1.214:5146
宁夏卫视,rtp://239.77.1.47:5146
