新疆2,rtp://238.125.3.175:5140
新疆3,rtp://238.125.3.176:5140
新疆4,rtp://238.125.3.177:5140
新疆5,rtp://238.125.3.178:5140
新疆6,rtp://238.125.3.179:5140
新疆7,rtp://238.125.3.180:5140
新疆8,rtp://238.125.3.181:5140
新疆9,rtp://238.125.3.182:5140
新疆10,rtp://238.125.3.183:5140
新疆11,rtp://238.125.3.184:5140
新疆12少儿,rtp://238.125.3.185:5140
新疆教育,rtp://238.125.2.131:5140
党员教育,rtp://238.125.4.144:5140
乌鲁木齐都市,rtp://238.125.2.241:5140
乌鲁木齐综合,rtp://238.125.2.244:5140
乌鲁木齐妇女,rtp://238.125.2.239:5140
乌鲁木齐影视,rtp://238.125.2.242:5140
乌鲁木齐维吾尔,rtp://238.125.2.241:5140
伊犁哈萨克1,rtp://238.125.4.147:5140
伊犁哈萨克2,rtp://238.125.4.148:5140
伊犁哈萨克3,rtp://238.125.4.149:5140
伊犁哈萨克4,rtp://238.125.4.150:5140
博尔塔拉1,rtp://238.125.3.12:5140
博尔塔拉2,rtp://238.125.3.13:5140
博尔塔拉3,rtp://238.125.3.14:5140
克孜勒苏柯尔克孜1,rtp://238.125.4.240:5140
克孜勒苏柯尔克孜2,rtp://238.125.0.242:5140
克孜勒苏柯尔克孜3,rtp://238.125.0.241:5140
昌吉综合,rtp://238.125.4.145:5140
霍城电视1,rtp://238.125.3.7:5140
霍城电视2,rtp://238.125.3.6:5140
阿勒泰1,rtp://238.125.3.150:5140
阿勒泰2,rtp://238.125.3.151:5140
昌吉市电视,rtp://238.125.3.27:5140
巴楚电视1,rtp://238.125.3.49:5140
巴楚电视2,rtp://238.125.3.50:5140
阿克苏1,rtp://238.125.3.84:5140
阿克苏2,rtp://238.125.3.86:5140
呼图壁,rtp://238.125.3.91:5140
巴音郭楞综合,rtp://238.125.3.38:5140
巴音郭楞2,rtp://238.125.3.39:5140
巴音郭楞3,rtp://238.125.3.40:5140
巴音郭楞教育,rtp://238.125.3.43:5140
CC综合,rtp://238.125.3.35:5140

阿勒泰电视,rtp://238.125.3.54:5140
玛纳斯,rtp://238.125.3.114:5140
十三师新星综合,rtp://238.125.3.118:5140
精河1,rtp://238.125.3.126:5140
塔里木1,rtp://238.125.3.150:5140
塔里木2,rtp://238.125.3.151:5140
综合,rtp://238.125.3.165:5140
喀什1,rtp://238.125.3.214:5140
喀什2,rtp://238.125.3.215:5140
喀什3,rtp://238.125.3.216:5140
昭苏1,rtp://238.125.3.225:5140
昭苏2,rtp://238.125.3.226:5140
维吾尔语,rtp://238.125.3.229:5140
伊宁县,rtp://238.125.3.228:5140
霍尔果斯市,rtp://238.125.3.238:5140
图木舒克1,rtp://238.125.3.239:5140
图木舒克2,rtp://238.125.3.240:5140
且末1,rtp://238.125.3.241:5140
且末2,rtp://238.125.3.242:5140
KTTV1,rtp://238.125.3.248:5140
KTTV3,rtp://238.125.3.250:5140
墨玉电视,rtp://238.125.2.135:5140
墨玉维吾尔语,rtp://238.125.2.134:5140
可克达拉新闻,rtp://238.125.2.158:5140
清河1,rtp://238.125.2.162:5140
清河2,rtp://238.125.2.161:5140
布尔津,rtp://238.125.2.164:5140
布尔津维吾尔语,rtp://238.125.2.163:5140
FHTV2,rtp://238.125.2.166:5140
FHTV1,rtp://238.125.2.167:5140
巴里坤融媒2,rtp://238.125.2.179:5140
巴里坤融媒1,rtp://238.125.2.180:5140
洛浦1,rtp://238.125.2.182:5140
洛浦2,rtp://238.125.2.181:5140
哈巴河1,rtp://238.125.2.188:5140
哈巴河2,rtp://238.125.2.187:5140
HTV1,rtp://238.125.2.192:5140
