YouTube「线路1」,#genre#
公視新聞,https://tv.iill.top/youtube/quwqlazU-c8
鏡新聞,https://tv.iill.top/youtube/5n0y6b0Q25o
華視新聞,https://tv.iill.top/youtube/wM0g8EoUZ_E
中視新聞,https://tv.iill.top/youtube/TCnaIE_SAtM
中天新聞,https://tv.iill.top/youtube/oIgbl7t0S_w
中天新聞2台,https://tv.iill.top/youtube/WPfPjbOLNfE
民視新聞,https://tv.iill.top/youtube/ylYJSBUgaMA
三立新聞,https://tv.iill.top/youtube/oZdzzvxTfUY
三立新聞2台,https://tv.iill.top/youtube/CKjSm5ZeehE
三立12小時新聞,https://tv.iill.top/youtube/MzyekdjkblA
東森新聞,https://tv.iill.top/youtube/LuQ4S-i5zoE
TVBS 55,https://tv.iill.top/youtube/m_dhMSvUCIc
寰宇新聞,https://tv.iill.top/youtube/6IquAgfvYmc
寰宇新聞台灣台,https://tv.iill.top/youtube/w87VGpgd90U
台視新聞,https://tv.iill.top/youtube/xL0ch83RAK8
非凡大探索 台北美食,https://tv.iill.top/youtube/rQUP8Ck27gc
非凡大探索 台中美食,https://tv.iill.top/youtube/T2udU5Crz4I
非凡大探索 高雄美食,https://tv.iill.top/youtube/bOcfle08bWA
MIT 台灣誌,https://tv.iill.top/youtube/9d4ggywa01w
大陸尋奇,https://tv.iill.top/youtube/fl1iFkAWcVU
亞洲美食頻道,https://tv.iill.top/youtube/nUzOmgx3RvM
台灣啟示錄,https://tv.iill.top/youtube/0qb7ND0_E6k
中廣流行網,https://tv.iill.top/youtube/TsiMLrOSY5U
momo購物一台,https://tv.iill.top/youtube/_pZQ1Lk0xMA
momo購物二台,https://tv.iill.top/youtube/xbNWkUyxQGM
東森購物CH34,https://tv.iill.top/youtube/_Vlzn9qAHD4
東森購物CH46,https://tv.iill.top/youtube/Z50JFuNgvB0
東森購物CH47,https://tv.iill.top/youtube/ViJ3XiN6Q3M
東森購物CH60,https://tv.iill.top/youtube/u0NYyH3ZesE
ViVa TV 美好購物1台,https://tv.iill.top/youtube/7IyxOiGMLgw
ViVa TV 美好購物2台,https://tv.iill.top/youtube/lEXITHxcagI
東森財經新聞,https://tv.iill.top/youtube/WHEPzbFA3hw
東森財經股市,https://tv.iill.top/youtube/LbS-xQ67fos
三立 iNEWS,https://tv.iill.top/youtube/CKjSm5ZeehE
寰宇財經台,https://tv.iill.top/youtube/25SE1bbTv9k
非凡商業台,https://tv.iill.top/youtube/JTAwlv6pzcQ
全球財經台,https://tv.iill.top/youtube/LUzqZHSIqWc
運通財經台,https://tv.iill.top/youtube/7_DEvPyHImI
中廣新聞網,https://tv.iill.top/youtube/DXCypeML3bQ
94要客訴,https://tv.iill.top/youtube/eYQVaXGMrBU
狠狠抖內幕,https://tv.iill.top/youtube/live_stream
新聞大白話,https://tv.iill.top/youtube/Y491n5FecPE
前進新台灣,https://tv.iill.top/youtube/GaQCo4f3Ujs?list=PLd5zGth6CDdWAZYkB6s0j844ywVVTPyFl
國民大會,https://tv.iill.top/youtube/ccdrE3P4NIA
新台灣加油,https://tv.iill.top/youtube/zZUZZNRbHhU?list=PLd5zGth6CDdUAYUqJy3p5KY1ui79_Mtrt
少康戰情室,https://tv.iill.top/youtube/qa7cuB0ub_I
飢餓遊戲,https://tv.iill.top/youtube/A98LJq71BZg
天才衝衝衝,https://tv.iill.top/youtube/oi-ZcqrFVxU
萬秀豬王,https://tv.iill.top/youtube/ADDSmXoPDY8
我愛冰冰 Show,https://tv.iill.top/youtube/zf1hVmrf5r8
豬哥會社,https://tv.iill.top/youtube/htGDPsz2BYI
東森娛樂頻道,https://tv.iill.top/youtube/live_stream
公視,https://tv.iill.top/youtube/C6gYqSHLRw4
公視台語台,https://tv.iill.top/youtube/6KlRR_DGhmI
公視 TaiwanPlus,https://tv.iill.top/youtube/Smy2zVGK9x0
台視主頻,https://tv.iill.top/youtube/uDqQo8a7Xmk
中天亞洲,https://tv.iill.top/youtube/s2waUruqze4
新唐人亞太台,https://tv.iill.top/youtube/WIhgU_mc05A
緯來日本台,https://tv.iill.top/youtube/_zKvIMHN2O8
HOP Sports,https://tv.iill.top/youtube/JaGd4Yy_xjA
MOMO 親子台,https://tv.iill.top/youtube/R3PZkCUJSbQ
