中国电信-广东-酒店,#genre#
五华台,http://59.32.97.44:9901/tsfile/live/23000_1.m3u8
五华影视,http://59.32.97.44:9901/tsfile/live/23001_1.m3u8
梅州1,http://59.32.97.44:9901/tsfile/live/23002_1.m3u8
梅州2,http://59.32.97.44:9901/tsfile/live/23003_1.m3u8
梅州导视,http://59.32.97.44:9901/tsfile/live/23004_1.m3u8
山歌台,http://59.32.97.44:9901/tsfile/live/23005_1.m3u8
TVB星河,http://59.32.97.44:9901/tsfile/live/23006_1.m3u8
广场舞,http://59.32.97.44:9901/tsfile/live/23007_1.m3u8
广东卫视,http://59.32.97.44:9901/tsfile/live/23008_1.m3u8
广东珠江,http://59.32.97.44:9901/tsfile/live/23009_1.m3u8
广东新闻,http://59.32.97.44:9901/tsfile/live/23010_1.m3u8
广东公共,http://59.32.97.44:9901/tsfile/live/23011_1.m3u8
广东体育,http://59.32.97.44:9901/tsfile/live/23012_1.m3u8
南方一,http://59.32.97.44:9901/tsfile/live/23014_1.m3u8
南方二,http://59.32.97.44:9901/tsfile/live/23015_1.m3u8
南方四,http://59.32.97.44:9901/tsfile/live/23016_1.m3u8
南方五,http://59.32.97.44:9901/tsfile/live/23017_1.m3u8
CCTV1,http://59.32.97.44:9901/tsfile/live/23018_1.m3u8
CCTV2,http://59.32.97.44:9901/tsfile/live/23019_1.m3u8
CCTV3,http://59.32.97.44:9901/tsfile/live/23020_1.m3u8
CCTV4,http://59.32.97.44:9901/tsfile/live/23021_1.m3u8
CCTV5,http://59.32.97.44:9901/tsfile/live/23022_1.m3u8
CCTV5+,http://59.32.97.44:9901/tsfile/live/23023_1.m3u8
CCTV6,http://59.32.97.44:9901/tsfile/live/23024_1.m3u8
CCTV7,http://59.32.97.44:9901/tsfile/live/23025_1.m3u8
CCTV8,http://59.32.97.44:9901/tsfile/live/23026_1.m3u8
CCTV9,http://59.32.97.44:9901/tsfile/live/23027_1.m3u8
CCTV10,http://59.32.97.44:9901/tsfile/live/23028_1.m3u8
CCTV11,http://59.32.97.44:9901/tsfile/live/23029_1.m3u8
CCTV12,http://59.32.97.44:9901/tsfile/live/23030_1.m3u8
CCTV13,http://59.32.97.44:9901/tsfile/live/23031_1.m3u8
CCTV14,http://59.32.97.44:9901/tsfile/live/23032_1.m3u8
CCTV15,http://59.32.97.44:9901/tsfile/live/23033_1.m3u8
CCTV17,http://59.32.97.44:9901/tsfile/live/23034_1.m3u8
CCTV兵器,http://59.32.97.44:9901/tsfile/live/23035_1.m3u8
凤凰卫视中文,http://59.32.97.44:9901/tsfile/live/23037_1.m3u8
CHC家庭电影,http://59.32.97.44:9901/tsfile/live/23038_1.m3u8
CHC动作电影,http://59.32.97.44:9901/tsfile/live/23039_1.m3u8
少儿卫视,http://59.32.97.44:9901/tsfile/live/23040_1.m3u8
金鹰卡通,http://59.32.97.44:9901/tsfile/live/23041_1.m3u8
哈哈炫动,http://59.32.97.44:9901/tsfile/live/23042_1.m3u8
佳嘉卡通,http://59.32.97.44:9901/tsfile/live/23043_1.m3u8
CHC电影,http://59.32.97.44:9901/tsfile/live/23044_1.m3u8
少儿动画,http://59.32.97.44:9901/tsfile/live/23045_1.m3u8
每天影院,http://59.32.97.44:9901/tsfile/live/23046_1.m3u8
幸福剧场,http://59.32.97.44:9901/tsfile/live/23047_1.m3u8
湖南卫视,http://59.32.97.44:9901/tsfile/live/23048_1.m3u8
浙江卫视,http://59.32.97.44:9901/tsfile/live/23049_1.m3u8
江苏卫视,http://59.32.97.44:9901/tsfile/live/23050_1.m3u8
上海卫视,http://59.32.97.44:9901/tsfile/live/23051_1.m3u8
黑龙江卫视,http://59.32.97.44:9901/tsfile/live/23055_1.m3u8
北京卫视,http://59.32.97.44:9901/tsfile/live/23056_1.m3u8
天津卫视,http://59.32.97.44:9901/tsfile/live/23057_1.m3u8
江西卫视,http://59.32.97.44:9901/tsfile/live/23059_1.m3u8
深圳卫视,http://59.32.97.44:9901/tsfile/live/23060_1.m3u8
湖北卫视,http://59.32.97.44:9901/tsfile/live/23061_1.m3u8
辽宁卫视,http://59.32.97.44:9901/tsfile/live/23062_1.m3u8
贵州卫视,http://59.32.97.44:9901/tsfile/live/23063_1.m3u8
四川卫视,http://59.32.97.44:9901/tsfile/live/23064_1.m3u8
安徽卫视,http://59.32.97.44:9901/tsfile/live/23066_1.m3u8
中国教育,http://59.32.97.44:9901/tsfile/live/23067_1.m3u8
重庆卫视,http://59.32.97.44:9901/tsfile/live/23069_1.m3u8
上海纪实,http://59.32.97.44:9901/tsfile/live/23074_1.m3u8
