一起看,#genre#
星爷,https://127.0.0.1:8080/huya/11342412.m3u8
英叔,https://127.0.0.1:8080/huya/11342421.m3u8
发哥,https://127.0.0.1:8080/huya/11342387.m3u8
成龙,https://127.0.0.1:8080/huya/11342386.m3u8
王晶,https://127.0.0.1:8080/huya/11602058.m3u8
沈腾,https://127.0.0.1:8080/huya/11601968.m3u8
黄渤,https://127.0.0.1:8080/huya/11352876.m3u8
强森,https://127.0.0.1:8080/huya/21059581.m3u8
漫威,https://127.0.0.1:8080/huya/11602034.m3u8
宇宙,https://127.0.0.1:8080/huya/11342428.m3u8
怪兽,https://127.0.0.1:8080/huya/21059577.m3u8
武侠,https://127.0.0.1:8080/huya/11342427.m3u8
警匪,https://127.0.0.1:8080/huya/11352886.m3u8
罪犯,https://127.0.0.1:8080/huya/11352962.m3u8
枪战,https://127.0.0.1:8080/huya/21059579.m3u8
海盗,https://127.0.0.1:8080/huya/21059595.m3u8
赛车,https://127.0.0.1:8080/huya/11279247.m3u8
推荐,https://127.0.0.1:8080/huya/11602041.m3u8
救援,https://127.0.0.1:8080/huya/21059594.m3u8
热血,https://127.0.0.1:8080/huya/11352934.m3u8
盗墓,https://127.0.0.1:8080/huya/21059552.m3u8
贺岁,https://127.0.0.1:8080/huya/11601971.m3u8
玄幻,https://127.0.0.1:8080/huya/11342414.m3u8
谍战,https://127.0.0.1:8080/huya/21059585.m3u8
战争,https://127.0.0.1:8080/huya/21059592.m3u8
喜剧,https://127.0.0.1:8080/huya/11352877.m3u8
港片,https://127.0.0.1:8080/huya/11602043.m3u8
国产,https://127.0.0.1:8080/huya/11352973.m3u8
周星星,https://127.0.0.1:8080/huya/11336587.m3u8
李连杰,https://127.0.0.1:8080/huya/11342390.m3u8
洪金宝,https://127.0.0.1:8080/huya/11279251.m3u8
梁家辉,https://127.0.0.1:8080/huya/11342429.m3u8
刘德华,https://127.0.0.1:8080/huya/11342424.m3u8
斯坦森,https://127.0.0.1:8080/huya/21059588.m3u8
小鬼头,https://127.0.0.1:8080/huya/11352963.m3u8
八点档,https://127.0.0.1:8080/huya/880261.m3u8
蜘蛛侠,https://127.0.0.1:8080/huya/21059599.m3u8
贺岁片,https://127.0.0.1:8080/huya/11601986.m3u8
功夫片,https://127.0.0.1:8080/huya/11352941.m3u8
黑帮片,https://127.0.0.1:8080/huya/11336719.m3u8
丧尸片,https://127.0.0.1:8080/huya/21059578.m3u8
灾难片,https://127.0.0.1:8080/huya/11602075.m3u8
谍战片,https://127.0.0.1:8080/huya/21059587.m3u8
战争片,https://127.0.0.1:8080/huya/21059574.m3u8
犯罪片,https://127.0.0.1:8080/huya/11352974.m3u8
古装片,https://127.0.0.1:8080/huya/11336590.m3u8
高分动作,https://127.0.0.1:8080/huya/11352884.m3u8
动作电影,https://127.0.0.1:8080/huya/11602077.m3u8
搞笑喜剧,https://127.0.0.1:8080/huya/11342423.m3u8
喜剧专场,https://127.0.0.1:8080/huya/11602044.m3u8
欢笑影院,https://127.0.0.1:8080/huya/11352894.m3u8
不挤影院,https://127.0.0.1:8080/huya/11352897.m3u8
国产悬疑,https://127.0.0.1:8080/huya/11342395.m3u8
快意江湖,https://127.0.0.1:8080/huya/11342435.m3u8
黑帮斗争,https://127.0.0.1:8080/huya/11342419.m3u8
嫣然影厅,https://127.0.0.1:8080/huya/11601977.m3u8
许氏三杰,https://127.0.0.1:8080/huya/11602033.m3u8
经典港片,https://127.0.0.1:8080/huya/11352965.m3u8
镖行天下,https://127.0.0.1:8080/huya/11352969.m3u8
高能反转,https://127.0.0.1:8080/huya/11352887.m3u8
喜乐影院,https://127.0.0.1:8080/huya/21059580.m3u8
蘑菇影厅,https://127.0.0.1:8080/huya/11601981.m3u8
搞笑恐怖,https://127.0.0.1:8080/huya/11601960.m3u8
死神来了,https://127.0.0.1:8080/huya/11352903.m3u8
变形金刚,https://127.0.0.1:8080/huya/21059596.m3u8
怪兽系列,https://127.0.0.1:8080/huya/21059554.m3u8
陈翔六点半,https://127.0.0.1:8080/huya/11274154.m3u8

剧集,#genre#
老三国,https://127.0.0.1:8080/huya/11602081.m3u8
新三国,https://127.0.0.1:8080/huya/11352944.m3u8
新水浒,https://127.0.0.1:8080/huya/11342384.m3u8
纪晓岚,https://127.0.0.1:8080/huya/11342396.m3u8
庆余年,https://127.0.0.1:8080/huya/11352960.m3u8
雍正王朝,https://127.0.0.1:8080/huya/11342439.m3u8
士兵突击,https://127.0.0.1:8080/huya/11342430.m3u8
爱情公寓,https://127.0.0.1:8080/huya/11336726.m3u8
家有儿女,https://127.0.0.1:8080/huya/11352872.m3u8
武林外传,https://127.0.0.1:8080/huya/21059598.m3u8
地下交通站,https://127.0.0.1:8080/huya/11342433.m3u8
邻里一家亲,https://127.0.0.1:8080/huya/11342426.m3u8

解说,#genre#
鹿哥电影,https://127.0.0.1:8080/huya/24396360.m3u8
电影狂人,https://127.0.0.1:8080/huya/18715610.m3u8
小川侃电影,https://127.0.0.1:8080/huya/15870999.m3u8
阿钙扒瞎,https://127.0.0.1:8080/huya/15978172.m3u8
阿良说剧,https://127.0.0.1:8080/huya/20488841.m3u8
续哥说电影,https://127.0.0.1:8080/huya/24396472.m3u8
斌哥漫说,https://127.0.0.1:8080/huya/18632116.m3u8
嫦娥撩电影,https://127.0.0.1:8080/huya/18201106.m3u8
疯狂解说家,https://127.0.0.1:8080/huya/18366196.m3u8
