河北酒店,#genre#
北京酒店,#genre#
广东酒店,#genre#
上海酒店,#genre#
天津酒店,#genre#
CCTV1,http://111.33.89.26:9901rtp://224.2.5.96:6096
CCTV2,http://111.33.89.26:9901rtp://224.2.5.85:6085
CCTV3,http://111.33.89.26:9901rtp://224.2.5.129:8129
CCTV4,http://111.33.89.26:9901rtp://@224.2.5.99:6099
CCTV5,http://111.33.89.26:9901rtp://224.2.5.130:8130
CCTV6,http://111.33.89.26:9901rtp://224.2.5.131:8131
CCTV7,http://111.33.89.26:9901rtp://224.2.5.86:6086
CCTV8,http://111.33.89.26:9901rtp://224.2.5.132:8132
CCTV9,http://111.33.89.26:9901rtp://224.2.5.177:8177
CCTV10,http://111.33.89.26:9901rtp://224.2.5.178:8178
CCTV11,http://111.33.89.26:9901udp://@224.2.2.236:7000
CCTV12,http://111.33.89.26:9901rtp://224.2.5.179:8179
CCTV13,http://111.33.89.26:9901rtp://224.2.5.92:6092
CCTV14,http://111.33.89.26:9901rtp://224.2.5.180:8180
CCTV15,http://111.33.89.26:9901udp://@224.2.2.204:7000
CCTV17,http://111.33.89.26:9901rtp://224.2.5.115:8115
CCTV5+,http://111.33.89.26:9901rtp://224.2.5.97:6097
CCTV英语新闻,http://111.33.89.26:9901rtp://224.2.5.16:6016
天津5,http://111.33.89.26:9901rtp://224.2.5.210:8210
三佳购物,http://111.33.89.26:9901rtp://224.2.5.233:8233
天津卫视,http://111.33.89.26:9901rtp://224.2.5.98:6098
武清电视台,http://111.33.89.26:9901rtp://224.2.5.1:6001
宝坻电视台,http://111.33.89.26:9901udp://224.2.2.215:7000
高尔夫,http://111.33.89.26:9901udp://224.2.2.246:7000
三沙卫视,http://111.33.89.26:9901rtp://224.2.5.113:8113
海南卫视,http://111.33.89.26:9901rtp://224.2.5.51:6051
兵团卫视,http://111.33.89.26:9901rtp://224.2.5.58:6058
吉林卫视,http://111.33.89.26:9901rtp://224.2.5.37:6037
河北卫视,http://111.33.89.26:9901rtp://224.2.5.128:8128
山西卫视,http://111.33.89.26:9901rtp://224.2.5.42:6042
云南卫视,http://111.33.89.26:9901rtp://224.2.5.14:6014
贵州卫视,http://111.33.89.26:9901rtp://224.2.5.188:8188
辽宁卫视,http://111.33.89.26:9901rtp://224.2.5.182:8182
北京卫视,http://111.33.89.26:9901rtp://224.2.5.84:6084
四川卫视,http://111.33.89.26:9901rtp://224.2.5.112:8112
浙江卫视,http://111.33.89.26:9901rtp://224.2.5.125:8125
广东卫视,http://111.33.89.26:9901rtp://224.2.5.137:8137
深圳卫视,http://111.33.89.26:9901rtp://224.2.5.138:8138
江苏卫视,http://111.33.89.26:9901rtp://224.2.5.100:8100
湖南卫视,http://111.33.89.26:9901rtp://224.2.5.139:8139
安徽卫视,http://111.33.89.26:9901rtp://224.2.5.234:8234
湖北卫视,http://111.33.89.26:9901rtp://224.2.5.183:8183
陕西卫视,http://111.33.89.26:9901rtp://224.2.5.25:6025
江西卫视,http://111.33.89.26:9901rtp://224.2.5.163:8163
河南卫视,http://111.33.89.26:9901rtp://224.2.5.211:8211
青海卫视,http://111.33.89.26:9901rtp://224.2.5.49:6049
甘肃卫视,http://111.33.89.26:9901rtp://224.2.5.12:6012
