辽宁酒店,#genre#
CCTV2,http://59.44.10.113:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://59.44.10.113:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://59.44.10.113:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
cctv1,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv1.m3u8
cctv2,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv2.m3u8
cctv3,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv3.m3u8
cctv4,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv4.m3u8
cctv5,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv5.m3u8
cctv6,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv6.m3u8
cctv7,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv7.m3u8
cctv8,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv8.m3u8
cctv9,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv9.m3u8
cctv10,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv10.m3u8
cctv11,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv11.m3u8
cctv12,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv12.m3u8
cctv13,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv13.m3u8
cctv14,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv14.m3u8
cctv15,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv15.m3u8
cctv5+,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv5+.m3u8
cctv17,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/cctv17.m3u8
黑龙江卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/HLJWS.m3u8
重庆卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/CQWS.m3u8
湖北卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/HBWS.m3u8
江西卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/JXWS.m3u8
河北卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/HeBWS.m3u8
吉林卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/JLWS.m3u8
贵州卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/GZWS.m3u8
东方卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/DFWS.m3u8
安徽卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/AHWS.m3u8
河南卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/HeNWS.m3u8
辽宁卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/LNWS.m3u8
四川卫视,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/SCWS.m3u8
CHC动作电影,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/DZDY.m3u8
CHC电影,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/CHCDY.m3u8
辽宁青少,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/LNQS.m3u8
辽宁体育,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/LNTY.m3u8
辽宁生活,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/LNSH.m3u8
辽宁都市,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/LNDS.m3u8
辽宁经济,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/LNJJ.m3u8
辽宁公共,http://59.44.203.42:9901http://www.zhongyunkj.com:58008/paiptv/LNGG.m3u8
