中国电信-湖南-酒店,#genre#
CCTV1,http://113.220.234.100:9999/tsfile/live/0017_1.m3u8
CCTV2,http://113.220.234.100:9999/tsfile/live/0018_1.m3u8
CCTV3,http://113.220.234.100:9999/tsfile/live/0019_1.m3u8
CCTV4,http://113.220.234.100:9999/tsfile/live/0004_1.m3u8
CCTV5,http://113.220.234.100:9999/tsfile/live/0005_1.m3u8
CCTV6,http://113.220.234.100:9999/tsfile/live/0006_1.m3u8
CCTV7,http://113.220.234.100:9999/tsfile/live/0007_1.m3u8
CCTV8,http://113.220.234.100:9999/tsfile/live/0008_1.m3u8
CCTV9,http://113.220.234.100:9999/tsfile/live/0009_1.m3u8
CCTV10,http://113.220.234.100:9999/tsfile/live/0010_1.m3u8
CCTV11,http://113.220.234.100:9999/tsfile/live/0011_2.m3u8
CCTV12,http://113.220.234.100:9999/tsfile/live/0012_2.m3u8
CCTV13,http://113.220.234.100:9999/tsfile/live/0013_2.m3u8
CCTV14,http://113.220.234.100:9999/tsfile/live/0014_1.m3u8
CCTV15,http://113.220.234.100:9999/tsfile/live/0015_1.m3u8
湖南卫视,http://113.220.234.100:9999/tsfile/live/0128_1.m3u8
江苏卫视,http://113.220.234.100:9999/tsfile/live/0127_1.m3u8
上海卫视,http://113.220.234.100:9999/tsfile/live/1005_1.m3u8
浙江卫视,http://113.220.234.100:9999/tsfile/live/0124_1.m3u8
安徽卫视,http://113.220.234.100:9999/tsfile/live/0130_1.m3u8
北京卫视,http://113.220.234.100:9999/tsfile/live/0122_1.m3u8
江西卫视,http://113.220.234.100:9999/tsfile/live/0138_1.m3u8
深圳卫视,http://113.220.234.100:9999/tsfile/live/0126_1.m3u8
辽宁卫视,http://113.220.234.100:9999/tsfile/live/0121_1.m3u8
