中国联通-河北-酒店,#genre#
CCTV1,http://101.19.62.22:9901/tsfile/live/0001_1.m3u8
CCTV2,http://101.19.62.22:9901/tsfile/live/0002_1.m3u8
CCTV3,http://101.19.62.22:9901/tsfile/live/0003_1.m3u8
CCTV4,http://101.19.62.22:9901/tsfile/live/0004_1.m3u8
CCTV5,http://101.19.62.22:9901/tsfile/live/0005_1.m3u8
CCTV6,http://101.19.62.22:9901/tsfile/live/0006_1.m3u8
CCTV7,http://101.19.62.22:9901/tsfile/live/0007_1.m3u8
CCTV8,http://101.19.62.22:9901/tsfile/live/0008_1.m3u8
CCTV9,http://101.19.62.22:9901/tsfile/live/0009_1.m3u8
CCTV10,http://101.19.62.22:9901/tsfile/live/0010_1.m3u8
CCTV11,http://101.19.62.22:9901/tsfile/live/0011_1.m3u8
CCTV12,http://101.19.62.22:9901/tsfile/live/0012_1.m3u8
CCTV13,http://101.19.62.22:9901/tsfile/live/0013_1.m3u8
CCTV15,http://101.19.62.22:9901/tsfile/live/0014_1.m3u8
河北1,http://101.19.62.22:9901/tsfile/live/1000_1.m3u8
湖南,http://101.19.62.22:9901/tsfile/live/1001_1.m3u8
浙江,http://101.19.62.22:9901/tsfile/live/1002_1.m3u8
江苏,http://101.19.62.22:9901/tsfile/live/1003_1.m3u8
北京,http://101.19.62.22:9901/tsfile/live/1004_1.m3u8
东方,http://101.19.62.22:9901/tsfile/live/1005_1.m3u8
天津,http://101.19.62.22:9901/tsfile/live/1006_1.m3u8
深圳,http://101.19.62.22:9901/tsfile/live/1007_1.m3u8
山东,http://101.19.62.22:9901/tsfile/live/1008_1.m3u8
广东,http://101.19.62.22:9901/tsfile/live/1009_1.m3u8
