中国联通-河南-酒店,#genre#
CCTV1,http://182.117.136.42:9901/tsfile/live/0001_1.m3u8
CCTV2,http://182.117.136.42:9901/tsfile/live/0002_1.m3u8
CCTV3,http://182.117.136.42:9901/tsfile/live/0003_1.m3u8
CCTV4,http://182.117.136.42:9901/tsfile/live/0004_1.m3u8
CCTV5,http://182.117.136.42:9901/tsfile/live/0005_1.m3u8
CCTV7,http://182.117.136.42:9901/tsfile/live/0007_1.m3u8
CCTV9,http://182.117.136.42:9901/tsfile/live/0009_1.m3u8
CCTV10,http://182.117.136.42:9901/tsfile/live/0010_1.m3u8
CCTV13,http://182.117.136.42:9901/tsfile/live/0013_1.m3u8
CCTV14,http://182.117.136.42:9901/tsfile/live/0014_1.m3u8
都市,http://182.117.136.42:9901/tsfile/live/1000_1.m3u8
湖南卫视,http://182.117.136.42:9901/tsfile/live/0128_1.m3u8
浙江卫视,http://182.117.136.42:9901/tsfile/live/0124_1.m3u8
北京卫视,http://182.117.136.42:9901/tsfile/live/0122_1.m3u8
上海卫视,http://182.117.136.42:9901/tsfile/live/0107_1.m3u8
天津卫视,http://182.117.136.42:9901/tsfile/live/0135_1.m3u8
山东卫视,http://182.117.136.42:9901/tsfile/live/0131_1.m3u8
深圳卫视,http://182.117.136.42:9901/tsfile/live/0126_1.m3u8
江西卫视,http://182.117.136.42:9901/tsfile/live/0138_1.m3u8
湖北卫视,http://182.117.136.42:9901/tsfile/live/0132_1.m3u8
黑龙江卫视,http://182.117.136.42:9901/tsfile/live/0143_1.m3u8
云南卫视,http://182.117.136.42:9901/tsfile/live/0119_1.m3u8
卡酷少儿,http://182.117.136.42:9901/tsfile/live/1010_1.m3u8
金鹰卡通,http://182.117.136.42:9901/tsfile/live/1011_1.m3u8
