中国联通-北京-酒店,#genre#
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8
CCTV2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8
CCTV4,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8
CCTV5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8
CCTV5,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8
CCTV6,http://116.128.242.83:9901/tsfile/live/0007_1.m3u8
CCTV7,http://116.128.242.83:9901/tsfile/live/0008_1.m3u8
CCTV8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8
CCTV9,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8
CCTV10,http://116.128.242.83:9901/tsfile/live/0011_1.m3u8
CCTV11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8
CCTV12,http://116.128.242.83:9901/tsfile/live/0013_1.m3u8
CCTV13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8
CCTV14,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8
CCTV15,http://116.128.242.83:9901/tsfile/live/0016_1.m3u8
湖南导视,http://116.128.242.83:9901/tsfile/live/0003_1.m3u8
安徽卫视,http://116.128.242.83:9901/tsfile/live/0128_1.m3u8
北京卫视,http://116.128.242.83:9901/tsfile/live/0126_1.m3u8
上海卫视,http://116.128.242.83:9901/tsfile/live/0118_1.m3u8
东南卫视,http://116.128.242.83:9901/tsfile/live/0127_1.m3u8
广东卫视,http://116.128.242.83:9901/tsfile/live/0124_1.m3u8
河北卫视,http://116.128.242.83:9901/tsfile/live/0142_1.m3u8
黑龙江卫视,http://116.128.242.83:9901/tsfile/live/0143_1.m3u8
湖北卫视,http://116.128.242.83:9901/tsfile/live/0121_1.m3u8
湖南电视剧,http://116.128.242.83:9901/tsfile/live/0120_1.m3u8
湖南都市,http://116.128.242.83:9901/tsfile/live/0139_1.m3u8
湖南公共,http://116.128.242.83:9901/tsfile/live/0117_1.m3u8
湖南经视,http://116.128.242.83:9901/tsfile/live/0131_1.m3u8
湖南卫视,http://116.128.242.83:9901/tsfile/live/0130_1.m3u8
湖南娱乐,http://116.128.242.83:9901/tsfile/live/0125_1.m3u8
江苏卫视,http://116.128.242.83:9901/tsfile/live/0113_1.m3u8
江西卫视,http://116.128.242.83:9901/tsfile/live/1000_1.m3u8
金鹰纪实,http://116.128.242.83:9901/tsfile/live/1001_1.m3u8
金鹰卡通,http://116.128.242.83:9901/tsfile/live/1002_1.m3u8
快乐购,http://116.128.242.83:9901/tsfile/live/1003_1.m3u8
辽宁卫视,http://116.128.242.83:9901/tsfile/live/1004_1.m3u8
山东卫视,http://116.128.242.83:9901/tsfile/live/1005_1.m3u8
深圳卫视,http://116.128.242.83:9901/tsfile/live/1006_1.m3u8
四川卫视,http://116.128.242.83:9901/tsfile/live/1007_1.m3u8
天津卫视,http://116.128.242.83:9901/tsfile/live/1008_1.m3u8
潇湘电影,http://116.128.242.83:9901/tsfile/live/1009_1.m3u8
浙江卫视,http://116.128.242.83:9901/tsfile/live/1010_1.m3u8
重庆卫视,http://116.128.242.83:9901/tsfile/live/1011_1.m3u8
中国联通-安徽-酒店,#genre#
CCTV1,http://112.123.155.153:9901/tsfile/live/0001_1.m3u8
CCTV2,http://112.123.155.153:9901/tsfile/live/0002_1.m3u8
CCTV3,http://112.123.155.153:9901/tsfile/live/0003_1.m3u8
CCTV5.,http://112.123.155.153:9901/tsfile/live/0005_1.m3u8
CCTV6,http://112.123.155.153:9901/tsfile/live/0006_1.m3u8
CCTV7,http://112.123.155.153:9901/tsfile/live/0007_1.m3u8
CCTV8,http://112.123.155.153:9901/tsfile/live/0008_1.m3u8
CCTV10,http://112.123.155.153:9901/tsfile/live/0010_1.m3u8
CCTV12,http://112.123.155.153:9901/tsfile/live/0012_1.m3u8
CCTV13,http://112.123.155.153:9901/tsfile/live/0013_1.m3u8
CCTV14,http://112.123.155.153:9901/tsfile/live/0014_1.m3u8
安徽卫视,http://112.123.155.153:9901/tsfile/live/0130_1.m3u8
东南卫视,http://112.123.155.153:9901/tsfile/live/0137_1.m3u8
江苏卫,http://112.123.155.153:9901/tsfile/live/0140_1.m3u8
四川卫视,http://112.123.155.153:9901/tsfile/live/0143_1.m3u8
中国联通-浙江-酒店,#genre#
CCTV1,http://101.65.34.239:9901/tsfile/live/0001_1.m3u8
CCTV2,http://101.65.34.239:9901/tsfile/live/0002_1.m3u8
CCTV3,http://101.65.34.239:9901/tsfile/live/0003_1.m3u8
CCTV4,http://101.65.34.239:9901/tsfile/live/0004_1.m3u8
CCTV5,http://101.65.34.239:9901/tsfile/live/0005_1.m3u8
CCTV6,http://101.65.34.239:9901/tsfile/live/0006_1.m3u8
CCTV7,http://101.65.34.239:9901/tsfile/live/0007_1.m3u8
