辽宁-中国电信-酒店,#genre#
CCTV1,http://59.44.203.42:9901/tsfile/live/1003_1.m3u8
CCTV2,http://59.44.203.42:9901/tsfile/live/1210_1.m3u8
CCTV3,http://59.44.203.42:9901/tsfile/live/1212_1.m3u8
CCTV4,http://59.44.203.42:9901/tsfile/live/1214_1.m3u8
CCTV5,http://59.44.203.42:9901/tsfile/live/1216_1.m3u8
CCTV6,http://59.44.203.42:9901/tsfile/live/1218_1.m3u8
CCTV7,http://59.44.203.42:9901/tsfile/live/1220_1.m3u8
CCTV8,http://59.44.203.42:9901/tsfile/live/1222_1.m3u8
CCTV9,http://59.44.203.42:9901/tsfile/live/1224_1.m3u8
CCTV10,http://59.44.203.42:9901/tsfile/live/1226_1.m3u8
CCTV11,http://59.44.203.42:9901/tsfile/live/1228_1.m3u8
CCTV12,http://59.44.203.42:9901/tsfile/live/1230_1.m3u8
CCTV13,http://59.44.203.42:9901/tsfile/live/1232_1.m3u8
CCTV14,http://59.44.203.42:9901/tsfile/live/1235_1.m3u8
CCTV15,http://59.44.203.42:9901/tsfile/live/1237_1.m3u8
CCTV5+,http://59.44.203.42:9901/tsfile/live/1239_1.m3u8
CCTV17,http://59.44.203.42:9901/tsfile/live/1240_1.m3u8
黑龙江卫视,http://59.44.203.42:9901/tsfile/live/1245_1.m3u8
重庆卫视,http://59.44.203.42:9901/tsfile/live/1249_1.m3u8
湖北卫视,http://59.44.203.42:9901/tsfile/live/1254_1.m3u8
江西卫视,http://59.44.203.42:9901/tsfile/live/1257_1.m3u8
河北卫视,http://59.44.203.42:9901/tsfile/live/1259_1.m3u8
吉林卫视,http://59.44.203.42:9901/tsfile/live/1262_1.m3u8
贵州卫视,http://59.44.203.42:9901/tsfile/live/1265_1.m3u8
上海卫视,http://59.44.203.42:9901/tsfile/live/1269_1.m3u8
安徽卫视,http://59.44.203.42:9901/tsfile/live/1270_1.m3u8
河南卫视,http://59.44.203.42:9901/tsfile/live/1271_1.m3u8
辽宁卫视,http://59.44.203.42:9901/tsfile/live/1275_1.m3u8
四川卫视,http://59.44.203.42:9901/tsfile/live/1277_1.m3u8
CHC动作电影,http://59.44.203.42:9901/tsfile/live/1301_1.m3u8
CHC电影,http://59.44.203.42:9901/tsfile/live/1302_1.m3u8
辽宁青少,http://59.44.203.42:9901/tsfile/live/1153_1.m3u8
辽宁体育,http://59.44.203.42:9901/tsfile/live/1350_1.m3u8
辽宁生活,http://59.44.203.42:9901/tsfile/live/1351_1.m3u8
辽宁都市,http://59.44.203.42:9901/tsfile/live/1352_1.m3u8
辽宁经济,http://59.44.203.42:9901/tsfile/live/1353_1.m3u8
辽宁公共,http://59.44.203.42:9901/tsfile/live/1354_1.m3u8
CCTV2,http://59.44.10.113:9901/tsfile/live/1001_1.m3u8
CCTV9,http://59.44.10.113:9901/tsfile/live/1002_1.m3u8
CCTV17,http://59.44.10.113:9901/tsfile/live/1000_1.m3u8
