黑龙江-中国电信-酒店,#genre#
CCTV1,http://112.99.195.122:9901/tsfile/live/1017_1.m3u8
CCTV2,http://112.99.195.122:9901/tsfile/live/1019_1.m3u8
CCTV3,http://112.99.195.122:9901/tsfile/live/1021_1.m3u8
CCTV4,http://112.99.195.122:9901/tsfile/live/1036_1.m3u8
CCTV5,http://112.99.195.122:9901/tsfile/live/1022_1.m3u8
CCTV6,http://112.99.195.122:9901/tsfile/live/0006_1.m3u8
CCTV8,http://112.99.195.122:9901/tsfile/live/0008_1.m3u8
CCTV9,http://112.99.195.122:9901/tsfile/live/0009_1.m3u8
CCTV10,http://112.99.195.122:9901/tsfile/live/0010_1.m3u8
CCTV11,http://112.99.195.122:9901/tsfile/live/0011_1.m3u8
CCTV12,http://112.99.195.122:9901/tsfile/live/0012_1.m3u8
CCTV13,http://112.99.195.122:9901/tsfile/live/1023_1.m3u8
CCTV少儿,http://112.99.195.122:9901/tsfile/live/1024_1.m3u8
CCTV15,http://112.99.195.122:9901/tsfile/live/1020_1.m3u8
黑龙江卫视,http://112.99.195.122:9901/tsfile/live/0143_1.m3u8
黑龙江影视,http://112.99.195.122:9901/tsfile/live/1025_1.m3u8
黑龙江文体,http://112.99.195.122:9901/tsfile/live/1026_1.m3u8
黑龙江都市,http://112.99.195.122:9901/tsfile/live/1027_1.m3u8
黑龙江新闻法治,http://112.99.195.122:9901/tsfile/live/1028_1.m3u8
黑龙江公共,http://112.99.195.122:9901/tsfile/live/1029_1.m3u8
黑龙江少儿,http://112.99.195.122:9901/tsfile/live/1030_1.m3u8
北京卫视,http://112.99.195.122:9901/tsfile/live/0122_1.m3u8
湖南卫视,http://112.99.195.122:9901/tsfile/live/0128_1.m3u8
天津卫视,http://112.99.195.122:9901/tsfile/live/0135_1.m3u8
上海卫视,http://112.99.195.122:9901/tsfile/live/0107_1.m3u8
卡酷少儿,http://112.99.195.122:9901/tsfile/live/1033_1.m3u8
山西卫视,http://112.99.195.122:9901/tsfile/live/0118_1.m3u8
江西卫视,http://112.99.195.122:9901/tsfile/live/0138_1.m3u8
四川卫视,http://112.99.195.122:9901/tsfile/live/0123_1.m3u8
湖北卫视,http://112.99.195.122:9901/tsfile/live/0132_1.m3u8
吉林卫视,http://112.99.195.122:9901/tsfile/live/0116_1.m3u8
金鹰卡通,http://112.99.195.122:9901/tsfile/live/1034_1.m3u8
广东卫视,http://112.99.195.122:9901/tsfile/live/0125_1.m3u8
深圳卫视,http://112.99.195.122:9901/tsfile/live/0126_1.m3u8
云南卫视,http://112.99.195.122:9901/tsfile/live/0119_1.m3u8
重庆卫视,http://112.99.195.122:9901/tsfile/live/0142_1.m3u8
山东教育,http://112.99.195.122:9901/tsfile/live/1035_1.m3u8
内蒙古卫视,http://112.99.195.122:9901/tsfile/live/0109_1.m3u8
河北卫视,http://112.99.195.122:9901/tsfile/live/0117_1.m3u8
陕西卫视,http://112.99.195.122:9901/tsfile/live/0136_1.m3u8
宁夏卫视,http://112.99.195.122:9901/tsfile/live/0112_1.m3u8
东南卫视,http://112.99.195.122:9901/tsfile/live/0137_1.m3u8
黑龙江-中国联通-酒店,#genre#
