中国联通-北京-组播,#genre#
央视,#genre#
CCTV1,http://cn.zzmd.fun:8888/rtp/239.3.1.129:8008
CCTV2,http://cn.zzmd.fun:8888/rtp/239.3.1.60:8084
CCTV3,http://cn.zzmd.fun:8888/rtp/239.3.1.172:8001
CCTV4,http://cn.zzmd.fun:8888/rtp/239.3.1.105:8092
CCTV5,http://cn.zzmd.fun:8888/rtp/239.3.1.173:8001
CCTV5+,http://cn.zzmd.fun:8888/rtp/239.3.1.130:8004
CCTV6,http://cn.zzmd.fun:8888/rtp/239.3.1.174:8001
CCTV7,http://cn.zzmd.fun:8888/rtp/239.3.1.61:8104
CCTV8,http://cn.zzmd.fun:8888/rtp/239.3.1.175:8001
CCTV9,http://cn.zzmd.fun:8888/rtp/239.3.1.62:8112
CCTV10,http://cn.zzmd.fun:8888/rtp/239.3.1.63:8116
CCTV11,http://cn.zzmd.fun:8888/rtp/239.3.1.152:8120
CCTV12,http://cn.zzmd.fun:8888/rtp/239.3.1.64:8124
CCTV13,http://cn.zzmd.fun:8888/rtp/239.3.1.124:8128
CCTV14,http://cn.zzmd.fun:8888/rtp/239.3.1.65:8132
CCTV15,http://cn.zzmd.fun:8888/rtp/239.3.1.153:8136
CCTV16,http://cn.zzmd.fun:8888/rtp/239.3.1.183:8001
CCTV16,http://cn.zzmd.fun:8888/rtp/239.3.1.184:8001
CCTV17,http://cn.zzmd.fun:8888/rtp/239.3.1.151:8144

北京卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.241:8000
湖南卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.132:8012
东方卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.136:8032
浙江卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.137:8036
江苏卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.135:8028
深圳卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.134:8020
广东卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.142:8048
安徽卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.211:8064
天津卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.141:1234
重庆卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.122:8160
山东卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.209:8052
黑龙江卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.133:8016
河北卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.148:8072
辽宁卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.210:8056
湖北卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.138:8044
吉林卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.240:8172
贵州卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.149:8076
东南卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.156:8148
江西卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.123:8164

中国电信-广东-组播,#genre#
CCTV1,http://alvin.ergotron.net:8000/rtp/239.77.1.17:5146
CCTV2,http://alvin.ergotron.net:8000/rtp/239.77.1.158:5146
CCTV3,http://alvin.ergotron.net:8000/rtp/239.77.0.169:5146
CCTV4,http://alvin.ergotron.net:8000/rtp/239.77.1.163:5146
CCTV5,http://alvin.ergotron.net:8000/rtp/239.77.0.170:5146
CCTV6,http://alvin.ergotron.net:8000/rtp/239.77.0.171:5146
CCTV7,http://alvin.ergotron.net:8000/rtp/239.77.1.159:5146
CCTV8,http://alvin.ergotron.net:8000/rtp/239.77.0.172:5146
CCTV9,http://alvin.ergotron.net:8000/rtp/239.77.1.168:5146
CCTV10,http://alvin.ergotron.net:8000/rtp/239.77.1.113:5146
CCTV11,http://alvin.ergotron.net:8000/rtp/239.77.1.238:5146
CCTV12,http://alvin.ergotron.net:8000/rtp/239.77.1.109:5146
CCTV13,http://alvin.ergotron.net:8000/rtp/239.77.0.188:5146
CCTV14,http://alvin.ergotron.net:8000/rtp/239.77.1.161:5146
CCTV15,http://alvin.ergotron.net:8000/rtp/239.77.1.239:5146
CCTV16,http://alvin.ergotron.net:8000/rtp/239.77.1.76:5146
CCTV17,http://alvin.ergotron.net:8000/rtp/239.77.1.121:5146
CCTV-4K,http://alvin.ergotron.net:8000/rtp/239.77.0.194:5146
CCTV-8K,http://alvin.ergotron.net:8000/rtp/239.253.43.106:5146

湖南卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.5:5146
浙江卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.33:5146
江苏卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.18:5146
东方卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.218:5146
安徽卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.92:5146
北京卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.4:5146
天津卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.141:5146
天津卫视,http://alvin.ergotron.net:8000/rtp/239.77.0.131:5146
山东卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.142:5146
江西卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.219:5146
湖北卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.93:5146
辽宁卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.103:5146
黑龙江卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.6:5146
贵州卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.221:5146
四川卫视,http://alvin.ergotron.net:8000/rtp/239.77.1.215:5146
